(2020-12-01 16:00:20,068) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4000 [FAILED]
(2020-12-01 16:00:20,068) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4000 [FAILED]
(2020-12-01 16:00:20,068) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4000 [FAILED]
(2020-12-01 16:00:20,068) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4000 [FAILED]
(2020-12-01 16:00:20,069) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4000 [FAILED]
(2020-12-01 16:00:20,069) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4002 [FAILED]
(2020-12-01 16:00:20,069) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4000 [FAILED]
(2020-12-01 16:00:20,069) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4000 [FAILED]
(2020-12-01 16:00:20,070) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4001 [FAILED]
(2020-12-01 16:00:20,070) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4000 [FAILED]
(2020-12-01 16:00:20,070) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4001 [FAILED]
(2020-12-01 16:00:20,070) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4002 [FAILED]
(2020-12-01 16:00:20,070) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4001 [FAILED]
(2020-12-01 16:00:20,071) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4001 [FAILED]
(2020-12-01 16:00:20,071) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4001 [FAILED]
(2020-12-01 16:00:20,071) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4000 [FAILED]
(2020-12-01 16:00:20,071) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4000 [FAILED]
(2020-12-01 16:00:20,072) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4001 [FAILED]
(2020-12-01 16:00:20,072) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4002 [FAILED]
(2020-12-01 16:00:20,072) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4000 [FAILED]
(2020-12-01 16:00:20,073) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4001 [FAILED]
(2020-12-01 16:00:20,073) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4001 [FAILED]
(2020-12-01 16:00:20,073) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4001 [FAILED]
(2020-12-01 16:00:20,073) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4002 [FAILED]
(2020-12-01 16:00:20,074) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4001 [FAILED]
(2020-12-01 16:00:20,074) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4001 [FAILED]
(2020-12-01 16:00:20,074) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4002 [FAILED]
(2020-12-01 16:00:20,074) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4001 [FAILED]
